revision,gcid,filePath,changeType,nlines,totalChanges,totalUnchanged,stabilityIndex,changeProneness,lifespan,author,activePairs,meanWCS,maxWCS,minWCS,stronglyCoupledPairs,decoupledPairs
333,119,options.c,M,5,4,319,0.9608,0.0120,331,darren,1,1.0000,1.0000,1.0000,1,0
333,120,options.c,M,5,4,319,0.9608,0.0120,331,darren,0,0.0000,0.0000,0.0000,0,0
333,123,options.c,M,12,5,318,0.9578,0.0151,331,darren,1,1.0000,1.0000,1.0000,1,0
333,124,options.c,M,15,3,320,0.9639,0.0090,331,darren,1,1.0000,1.0000,1.0000,1,0
333,125,options.c,M,15,3,320,0.9639,0.0090,331,darren,1,1.0000,1.0000,1.0000,1,0
333,181,options.c,M,5,4,169,0.9769,0.0231,172,darren,3,0.0000,0.0000,0.0000,0,3
333,223,options.c,M,6,3,84,0.9655,0.0345,86,darren,0,0.0000,0.0000,0.0000,0,0
333,245,options.c,M,12,2,59,0.9672,0.0328,60,darren,1,1.0000,1.0000,1.0000,1,0
338,223,options.c,M,6,4,88,0.9565,0.0435,91,darren,0,0.0000,0.0000,0.0000,0,0
341,258,verilog.c,M,8,1,0,0.0000,1.0000,0,darren,2,0.0000,0.0000,0.0000,0,2
341,259,verilog.c,M,5,1,0,0.0000,1.0000,0,darren,1,0.0000,0.0000,0.0000,0,1
345,159,routines.c,M,5,4,244,0.9799,0.0161,248,darren,2,0.0000,0.0000,0.0000,0,2
345,243,main.c,M,5,1,72,0.9863,0.0137,72,darren,1,0.0000,0.0000,0.0000,0,1
345,254,main.c,M,7,2,37,0.9487,0.0513,38,darren,5,0.2000,1.0000,0.0000,1,4
345,255,main.c,M,7,2,37,0.9487,0.0513,38,darren,5,0.2000,1.0000,0.0000,1,4
346,86,options.c,M,5,5,331,0.9594,0.0145,344,darren,5,0.2143,1.0000,0.0000,1,4
346,117,options.c,M,5,5,331,0.9594,0.0145,344,darren,5,0.2143,1.0000,0.0000,1,4
346,119,options.c,M,5,5,331,0.9594,0.0145,344,darren,1,0.4449,0.4449,0.4449,0,0
346,120,options.c,M,5,5,331,0.9594,0.0145,344,darren,0,0.0000,0.0000,0.0000,0,0
346,123,options.c,M,12,6,330,0.9565,0.0174,344,darren,1,1.0000,1.0000,1.0000,1,0
346,124,options.c,M,15,4,332,0.9623,0.0116,344,darren,1,1.0000,1.0000,1.0000,1,0
346,125,options.c,M,15,4,332,0.9623,0.0116,344,darren,1,1.0000,1.0000,1.0000,1,0
346,181,options.c,M,5,5,181,0.9731,0.0269,185,darren,3,0.0000,0.0000,0.0000,0,3
346,223,options.c,M,6,5,95,0.9500,0.0500,99,darren,0,0.0000,0.0000,0.0000,0,0
346,245,options.c,M,12,3,71,0.9595,0.0405,73,darren,1,1.0000,1.0000,1.0000,1,0
346,254,main.c,M,7,3,37,0.9250,0.0750,39,darren,5,0.2000,1.0000,0.0000,1,4
346,255,main.c,M,7,3,37,0.9250,0.0750,39,darren,5,0.2000,1.0000,0.0000,1,4
374,123,options.c,M,12,7,357,0.9571,0.0188,372,darren,1,1.0000,1.0000,1.0000,1,0
374,157,routines.c,M,6,3,274,0.9856,0.0108,277,darren,1,0.0012,0.0012,0.0012,0,1
374,159,routines.c,M,5,5,272,0.9784,0.0180,277,darren,2,0.0000,0.0000,0.0000,0,2
374,160,routines.c,M,6,4,273,0.9820,0.0144,277,darren,1,1.0000,1.0000,1.0000,1,0
374,161,routines.c,M,6,4,273,0.9820,0.0144,277,darren,1,1.0000,1.0000,1.0000,1,0
374,245,options.c,M,12,4,98,0.9608,0.0392,101,darren,1,1.0000,1.0000,1.0000,1,0
377,80,get.c,M,6,3,364,0.9681,0.0080,375,darren,1,0.0000,0.0000,0.0000,0,1
380,201,sql.c,M,6,3,162,0.9759,0.0181,165,darren,1,1.0000,1.0000,1.0000,1,0
380,206,sql.c,M,5,1,164,0.9880,0.0060,165,darren,3,0.0000,0.0000,0.0000,0,3
380,208,sql.c,M,6,3,162,0.9759,0.0181,165,darren,1,1.0000,1.0000,1.0000,1,0
380,209,sql.c,M,6,3,162,0.9759,0.0181,165,darren,3,0.0168,0.0504,0.0000,0,3
381,129,perl.c,M,5,2,369,0.9711,0.0053,379,darren,1,0.0000,0.0000,0.0000,0,1
384,224,vim.c,M,12,1,126,0.9921,0.0079,126,darren,0,0.0000,0.0000,0.0000,0,0
386,123,options.c,M,12,8,368,0.9558,0.0208,384,darren,1,1.0000,1.0000,1.0000,1,0
386,245,options.c,M,12,5,109,0.9561,0.0439,113,darren,1,1.0000,1.0000,1.0000,1,0
389,216,sml.c,M,8,1,146,0.9865,0.0068,147,darren,23,0.0000,0.0000,0.0000,0,23
389,222,sml.c,M,6,1,146,0.9865,0.0068,147,darren,3,0.0000,0.0000,0.0000,0,3
390,216,sml.c,M,8,2,146,0.9799,0.0134,148,darren,23,0.0000,0.0000,0.0000,0,23
390,222,sml.c,M,6,2,146,0.9799,0.0134,148,darren,3,0.0000,0.0000,0.0000,0,3
391,216,sml.c,M,8,3,146,0.9733,0.0200,149,darren,23,0.0000,0.0000,0.0000,0,23
391,222,sml.c,M,6,3,146,0.9733,0.0200,149,darren,3,0.0000,0.0000,0.0000,0,3
393,38,php.c,M,11,1,382,0.9745,0.0026,391,darren,0,0.0000,0.0000,0.0000,0,0
400,19,perl.c,M,7,2,386,0.9674,0.0050,398,darren,5,0.0000,0.0000,0.0000,0,5
400,129,perl.c,M,5,3,387,0.9699,0.0075,398,darren,1,0.0000,0.0000,0.0000,0,1
400,261,perl.c,M,5,1,0,0.0000,1.0000,0,darren,0,0.0000,0.0000,0.0000,0,0
401,262,perl.c,M,7,1,0,0.0000,1.0000,0,darren,0,0.0000,0.0000,0.0000,0,0
402,129,perl.c,M,5,4,388,0.9676,0.0100,400,darren,1,0.0000,0.0000,0.0000,0,1
