revision_number,method_name,method_signature,package_name,class_name,src,start_line,end_line,methodId,globalMethodId
311 | getFootprint | getFootprint() | DNS | SIGRecord | org/xbill/DNS/SIGRecord.java | 167 | 169 | 222586 | 259
311 | getFudge | getFudge() | DNS | TSIGRecord | org/xbill/DNS/TSIGRecord.java | 143 | 145 | 222587 | 132
311 | getHeader | getHeader() | DNS | Message | org/xbill/DNS/Message.java | 87 | 89 | 222588 | 42
311 | getHost | getHost() | DNS | SOARecord | org/xbill/DNS/SOARecord.java | 103 | 105 | 222589 | 232
311 | getHostName | getHostName(InetAddress addr) throws UnknownHostException | DNS | Address | org/xbill/DNS/Address.java | 83 | 90 | 222590 | 313
311 | getID | getID() | DNS | Header | org/xbill/DNS/Header.java | 104 | 106 | 222591 | 43
311 | getKey | getKey() | DNS | KEYRecord | org/xbill/DNS/KEYRecord.java | 151 | 153 | 222592 | 258
311 | getKeyTag | getKeyTag() | DNS | CERTRecord | org/xbill/DNS/CERTRecord.java | 117 | 119 | 222593 | 160
311 | getLabels | getLabels() | DNS | SIGRecord | org/xbill/DNS/SIGRecord.java | 143 | 145 | 222594 | 260
311 | getMinimum | getMinimum() | DNS | SOARecord | org/xbill/DNS/SOARecord.java | 139 | 141 | 222595 | 233
311 | getNS | getNS() | DNS | Zone | org/xbill/DNS/Zone.java | 59 | 61 | 222596 | 265
311 | getName | getName() | DNS | RRset | org/xbill/DNS/RRset.java | 110 | 115 | 222597 | 133
311 | getName | getName() | DNS | Record | org/xbill/DNS/Record.java | 284 | 286 | 222598 | 133
311 | getNext | getNext() | DNS | NXTRecord | org/xbill/DNS/NXTRecord.java | 88 | 90 | 222599 | 134
311 | getOPT | getOPT() | DNS | Message | org/xbill/DNS/Message.java | 190 | 196 | 222600 | 293
311 | getOS | getOS() | DNS | HINFORecord | org/xbill/DNS/HINFORecord.java | 64 | 66 | 222601 | 135
311 | getOpcode | getOpcode() | DNS | Header | org/xbill/DNS/Header.java | 157 | 159 | 222602 | 44
311 | getOrigTTL | getOrigTTL() | DNS | SIGRecord | org/xbill/DNS/SIGRecord.java | 149 | 151 | 222603 | 261
311 | getOrigin | getOrigin() | DNS | Zone | org/xbill/DNS/Zone.java | 53 | 55 | 222604 | 204
311 | getOriginalID | getOriginalID() | DNS | TSIGRecord | org/xbill/DNS/TSIGRecord.java | 155 | 157 | 222605 | 136
311 | getOther | getOther() | DNS | TSIGRecord | org/xbill/DNS/TSIGRecord.java | 167 | 169 | 222606 | 137
311 | getPayloadSize | getPayloadSize() | DNS | OPTRecord | org/xbill/DNS/OPTRecord.java | 73 | 75 | 222607 | 213
311 | getPort | getPort() | DNS | SRVRecord | org/xbill/DNS/SRVRecord.java | 97 | 99 | 222608 | 138
311 | getPos | getPos() | DNS.utils | DataByteInputStream | org/xbill/DNS/utils/DataByteInputStream.java | 146 | 148 | 222609 | 139
311 | getPos | getPos() | DNS.utils | DataByteOutputStream | org/xbill/DNS/utils/DataByteOutputStream.java | 136 | 138 | 222610 | 139
311 | getPriority | getPriority() | DNS | MXRecord | org/xbill/DNS/MXRecord.java | 73 | 75 | 222611 | 140
311 | getPriority | getPriority() | DNS | SRVRecord | org/xbill/DNS/SRVRecord.java | 85 | 87 | 222612 | 140
311 | getProtocol | getProtocol() | DNS | KEYRecord | org/xbill/DNS/KEYRecord.java | 135 | 137 | 222613 | 141
311 | getQuestion | getQuestion() | DNS | Message | org/xbill/DNS/Message.java | 156 | 163 | 222614 | 295
311 | getRRsetType | getRRsetType() | DNS | Record | org/xbill/DNS/Record.java | 307 | 313 | 222615 | 297
311 | getRcode | getRcode() | DNS | Header | org/xbill/DNS/Header.java | 139 | 141 | 222616 | 45
311 | getRecords | getRecords(String name, short type) | DNS | dns | org/xbill/DNS/dns.java | 241 | 243 | 222617 | 217
311 | getRecords | getRecords(String namestr, short type, short dclass) | DNS | dns | org/xbill/DNS/dns.java | 218 | 220 | 222618 | 217
311 | getRecords | getRecords(String namestr, short type, short dclass, byte cred) | DNS | dns | org/xbill/DNS/dns.java | 175 | 208 | 222619 | 217
